년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤),sp평균상대습도(%),sp최소상대습도(%),su평균상대습도(%),su최소상대습도(%),fa평균상대습도(%),fa최소상대습도(%),sp평균현지기압(hPa),sp평균해면기압(hPa),sp최고해면기압(hPa),sp최저해면기압(hPa),su평균현지기압(hPa),su평균해면기압(hPa),su최고해면기압(hPa),su최저해면기압(hPa),fa평균현지기압(hPa),fa평균해면기압(hPa),fa최고해면기압(hPa),fa최저해면기압(hPa),sp합계일조시간(hr),sp합계전천일사량(MJ/㎡),su합계일조시간(hr),su합계전천일사량(MJ/㎡),fa합계일조시간(hr),fa합계전천일사량(MJ/㎡),sp평균기온(℃),sp최고기온 평균(℃),sp최저기온 평균(℃),sp강수량(mm),su평균기온(℃),su최고기온 평균(℃),su최저기온 평균(℃),su강수량(mm),fa평균기온(℃),fa최고기온 평균(℃),fa최저기온 평균(℃),fa강수량(mm),sp평균풍속(m/s),sp최대풍속(m/s),su평균풍속(m/s),su최대풍속(m/s),fa평균풍속(m/s),fa최대풍속(m/s)
1981,충청남도,5908,844,49864,74.0,38.5,79.7,42.0,84.5,42.0,1016.6,1017.6,1028.0,1004.1,1008.5,1009.3,1017.7,999.2,1008.5,1009.4,1018.6,994.6,280.0,906.1,288.6,1025.4,262.1,959.6,8.2,15.0,2.1,179.3,20.8,26.3,15.9,955.4,21.4,27.0,16.8,1070.8,1.8,8.6,1.7,8.2,1.4,7.0
1981,충청북도,7196,1077,77501,70.5,14.5,77.7,27.7,81.5,38.0,1010.6,1017.9,1030.2,1004.1,1002.7,1009.7,1018.5,999.3,1003.0,1010.0,1019.9,996.0,232.3,774.4,229.8,817.2,213.4,695.8,8.4,15.6,1.6,203.0,20.9,26.7,15.6,828.2,20.6,26.6,16.0,1047.2,2.2,9.7,1.6,8.3,1.2,6.8
1982,강원도,1213,653,7921,72.0,24.5,80.7,32.0,83.0,37.0,1017.4,1023.0,1037.2,1010.0,1008.5,1013.7,1022.4,1001.3,1011.3,1017.0,1026.0,1000.5,278.0,494.8,287.5,577.9,260.8,508.5,7.4,14.2,1.2,275.4,19.5,25.4,14.3,851.8,20.6,26.4,15.8,1266.8,2.2,10.0,2.0,9.2,1.6,8.4
1982,경기도,2736,751,20547,66.0,21.5,75.0,30.3,77.5,35.5,1014.6,1019.2,1031.0,1008.4,1004.5,1009.0,1017.1,997.9,1007.6,1011.9,1018.4,1000.0,259.0,528.6,267.1,580.5,240.8,484.3,8.0,15.0,1.6,102.9,21.0,27.0,15.5,417.3,21.7,27.8,16.7,487.1,1.4,7.4,1.1,7.2,0.8,6.6
1982,경상남도,1754,1020,17891,70.5,28.5,80.0,39.7,84.0,48.0,1018.8,1018.4,1030.3,1004.6,1009.6,1009.0,1017.4,998.0,1011.8,1011.4,1018.6,997.4,245.8,532.1,251.2,548.1,226.8,489.6,10.2,16.6,4.2,751.6,21.2,27.0,16.2,968.6,22.6,27.9,18.4,1633.4,1.8,10.0,1.5,8.2,1.4,8.0
1982,경상북도,23635,1392,328999,67.5,29.5,76.0,34.0,80.0,46.5,1020.7,1018.5,1030.6,1004.4,1011.9,1009.5,1017.8,998.6,1014.6,1012.0,1020.0,994.7,263.0,497.7,280.7,599.8,256.0,505.4,9.2,15.4,3.5,417.9,20.8,26.5,15.4,657.1,22.0,27.1,17.6,1128.4,2.5,11.6,2.0,9.9,2.0,11.0
1982,대구광역시,539,1611,8683,56.5,13.0,64.0,19.3,69.5,27.5,1010.8,1018.2,1030.8,1004.0,1001.7,1008.7,1017.5,997.3,1004.5,1011.5,1018.8,996.3,216.8,452.8,216.2,522.3,188.7,445.1,10.8,16.7,5.1,51.6,22.5,28.7,17.2,66.7,23.3,28.3,19.2,205.0,3.2,12.6,3.3,12.4,3.0,10.4
1982,부산광역시,4,1020,41,64.0,21.5,77.3,43.3,76.5,42.5,1009.0,1017.6,1029.1,1004.0,1000.6,1008.8,1016.8,998.1,1002.6,1010.8,1018.0,994.4,208.2,466.0,209.0,556.1,204.7,522.2,11.4,16.2,7.4,113.0,20.8,24.4,17.8,146.9,23.5,27.1,20.6,152.9,4.2,15.7,3.6,13.5,4.0,13.5
1982,서울특별시,2,541,11,57.0,24.5,69.3,28.7,71.0,34.0,1007.8,1018.4,1030.1,1007.8,998.1,1008.1,1016.3,997.3,1001.0,1011.0,1017.6,999.0,239.4,469.6,213.5,493.2,190.9,174.6,9.1,14.5,4.6,27.0,21.6,26.8,17.5,115.3,23.1,27.8,19.0,130.3,2.9,10.0,2.6,9.3,2.2,11.5
1982,인천광역시,1,0,0,66.0,25.5,77.3,31.3,78.0,36.0,1017.2,1018.6,1029.9,1007.9,1006.7,1008.2,1016.4,997.2,1009.8,1011.2,1017.7,999.4,270.8,517.0,262.9,570.2,255.2,482.8,7.8,13.1,3.1,47.1,20.2,25.4,16.0,219.5,22.2,27.1,18.0,264.6,3.9,12.6,3.2,12.4,3.2,13.2
1982,전라남도,814,979,7969,71.0,27.0,81.3,35.7,79.5,41.0,1021.9,1019.0,1030.0,1006.4,1012.9,1009.5,1017.7,998.5,1014.9,1011.8,1018.3,1000.9,248.0,559.0,264.9,585.0,255.0,529.6,10.0,15.6,4.8,513.3,21.0,26.1,16.7,947.3,23.4,28.2,19.4,800.2,2.6,11.1,2.0,9.4,2.2,10.2
1982,전라북도,1573,689,10838,72.0,27.0,78.7,35.7,81.5,44.5,1018.4,1020.9,1030.3,1006.2,1008.0,1011.0,1016.6,997.3,1010.8,1013.8,1017.9,1000.0,254.4,485.6,274.0,562.6,265.5,470.7,8.4,15.0,2.5,352.6,21.3,27.4,16.0,668.9,22.5,28.0,17.9,630.2,1.8,8.0,1.7,8.3,1.5,6.9
1982,제주도,0,0,0,73.5,28.0,85.0,39.0,82.5,46.0,1018.2,1018.0,1028.4,1005.8,1009.1,1008.6,1016.4,997.8,1011.1,1010.7,1018.4,1000.8,202.0,448.7,232.8,594.4,211.4,496.4,11.6,15.4,7.4,404.4,21.4,24.9,17.9,484.9,24.1,27.3,21.0,474.2,3.4,12.6,2.6,10.4,3.2,11.0
1982,충청남도,4621,927,42837,71.0,30.5,78.7,38.3,82.0,45.5,1017.6,1019.0,1030.0,1008.0,1007.9,1008.5,1016.2,997.4,1010.5,1011.4,1017.8,1000.1,287.0,507.0,310.0,464.7,276.0,439.8,8.0,14.6,1.8,222.6,21.0,27.1,15.4,549.8,22.0,27.8,17.1,551.8,1.8,7.7,1.6,7.5,1.4,7.7
1982,충청북도,5848,1392,81404,68.0,17.0,73.7,25.3,81.5,34.5,1011.8,1019.2,1031.2,1007.4,1001.9,1008.8,1017.6,997.8,1004.8,1011.8,1018.4,999.4,247.4,503.5,261.2,589.4,226.5,474.1,8.2,15.2,1.4,190.2,20.9,27.3,15.0,461.4,21.4,27.4,16.2,723.8,1.8,8.4,1.4,8.5,1.4,7.3
1983,강원도,1217,870,10588,71.0,27.0,78.0,35.3,86.5,49.0,1016.4,1021.6,1037.3,1004.3,1009.1,1013.7,1024.0,1001.1,1012.0,1016.8,1023.1,1007.0,253.8,512.9,278.1,579.7,234.6,479.3,7.6,14.0,1.5,603.1,19.4,25.1,14.4,1005.8,21.6,26.6,17.8,1297.0,2.5,12.4,2.0,9.9,1.6,7.6
1983,경기도,2667,824,21976,69.5,15.0,75.3,32.7,79.0,37.0,1013.0,1017.1,1029.2,1002.9,1004.9,1009.2,1018.3,996.8,1006.6,1011.0,1017.8,1001.0,243.0,448.2,255.8,527.1,215.6,447.7,8.6,15.6,2.3,285.4,20.9,26.7,15.8,438.8,23.2,28.5,19.3,444.2,1.3,8.4,1.0,7.0,0.8,5.0
1983,경상남도,1673,1120,18738,72.5,28.0,78.0,38.0,84.0,47.0,1016.0,1017.0,1029.0,1003.2,1008.7,1009.5,1018.7,996.7,1009.4,1010.4,1018.3,998.5,226.4,480.0,248.5,543.3,206.6,454.2,10.3,16.4,4.8,1127.2,20.9,26.4,16.1,1226.1,24.0,28.8,20.4,2106.4,1.8,11.3,1.5,8.1,1.2,6.5
1983,경상북도,23560,1622,382143,71.0,32.0,77.3,33.0,84.5,52.5,1019.3,1017.2,1029.6,1002.2,1012.1,1009.9,1019.7,997.4,1014.2,1011.6,1018.3,1000.8,249.8,445.8,277.2,567.4,217.6,426.7,9.3,15.4,3.6,926.8,20.4,25.8,15.3,1397.9,23.1,27.8,19.4,1705.2,2.8,14.5,2.1,11.0,2.0,10.0
1983,대구광역시,509,1475,7508,59.0,13.5,68.3,21.0,78.0,36.5,1009.4,1016.8,1029.4,1002.2,1002.2,1009.2,1018.7,996.0,1003.7,1010.6,1017.7,999.2,205.8,425.8,223.1,498.2,175.2,396.1,10.8,16.7,5.3,82.6,21.8,27.7,17.0,146.8,24.6,29.2,21.0,151.4,3.5,14.5,3.3,11.2,3.0,10.8
1983,대전광역시,0,0,0,69.5,19.5,74.3,23.7,81.5,35.5,1007.2,1016.7,1028.6,1002.9,1000.0,1009.0,1018.2,996.3,1001.6,1010.4,1017.8,999.2,199.8,,225.0,,169.6,,9.9,16.1,4.4,118.4,21.7,27.5,16.7,179.8,24.0,28.8,20.4,163.5,2.1,11.5,1.8,8.8,1.5,8.5
