시점,항목,기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (hr),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
시점,항목,평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
2019,6월,19.5,26.7,31.5,13,6.7,156.9,72,15,1006,13.1,58,203.7,-,1.4,5.7,10.1
2019,7월,22.9,28,32.8,18.7,12.4,197.1,82,27,1006.2,19,72,117.4,-,1.3,5.3,9.4
2019,8월,23.7,29.7,34.5,18.9,12.4,117,81,39,1009.5,19.7,63,190.2,-,1.3,5.6,9.4
2019,9월,19.6,25.2,30.5,14.6,8.2,180.2,81,21,1019.6,15.6,72,123,-,1.3,9,17.7
2020,3월,6.2,13.2,20.5,-0.8,-6.9,17.7,63,16,1017.6,-1.5,40,212.9,-,1.5,7.1,19.3
2020,4월,8.7,16.2,24.7,1.1,-3.8,30.1,58,11,1015.2,-0.7,39,244.3,-,1.9,7.7,15
2020,5월,15.8,21.9,28.4,9.7,3.1,114.8,73,20,1012,9.9,61,203.6,-,1.5,5.8,13.9
2020,6월,20.8,26.9,32.8,15,9.7,115.3,75,22,1004.4,15.4,58,209.8,-,1.3,5.2,10.7
2020,7월,20.6,24.7,28.8,17.2,13.5,272.5,87,45,1009.3,18,74,100.4,-,1,4.9,12.2
2020,8월,23.9,28.3,31.7,20.6,17.2,434.9,89,43,1009.1,21.7,75,109.7,-,0.9,4.9,12.2
2020,9월,17.6,22.8,26.6,13.3,6.2,153.5,83,28,1016.3,14.2,69,109.6,-,1.3,8.4,10.3
