년,월,합계일조시간(hr),합계전천일사량(MJ/㎡),지역
 1993,05,216.3,514.03,부산광역시
 1993,06,142.7,419.21,부산광역시
 1993,07,124.7,399.18,부산광역시
 1993,08,116.7,338.45,부산광역시
 1993,09,164.9,388.21,부산광역시
 1994,03,204.0,450.35,부산광역시
 1994,04,194.0,472.26,부산광역시
 1994,05,230.1,543.64,부산광역시
 1994,06,185.5,506.45,부산광역시
 1994,07,318.0,638.23,부산광역시
 1994,08,300.5,577.65,부산광역시
 1994,09,235.6,484.15,부산광역시
 1995,03,179.4,404.73,부산광역시
 1995,04,217.5,510.3,부산광역시
 1995,05,237.1,541.75,부산광역시
 1995,06,189.6,495.77,부산광역시
 1995,07,155.1,443.16,부산광역시
 1995,08,262.3,566.84,부산광역시
 1995,09,167.2,373.92,부산광역시
 1996,03,187.7,372.7,부산광역시
 1996,04,239.8,493.2,부산광역시
 1996,05,262.6,535.92,부산광역시
 1996,06,116.0,328.91,부산광역시
 1996,07,219.9,487.26,부산광역시
 1996,08,239.7,483.63,부산광역시
 1996,09,216.1,406.1,부산광역시
 1997,03,208.0,384.41,부산광역시
 1997,04,222.3,468.68,부산광역시
 1997,05,227.2,504.14,부산광역시
 1997,06,261.1,545.79,부산광역시
 1997,07,155.7,410.67,부산광역시
 1997,08,221.4,471.68,부산광역시
 1997,09,196.8,389.98,부산광역시
 1998,03,220.7,418.09,부산광역시
 1998,04,164.0,408.91,부산광역시
 1998,05,206.4,509.11,부산광역시
 1998,06,141.2,390.19,부산광역시
 1998,07,144.3,393.63,부산광역시
 1998,08,176.9,420.4,부산광역시
 1998,09,186.2,391.46,부산광역시
 1999,03,160.2,334.68,부산광역시
 1999,04,235.8,490.27,부산광역시
 1999,05,303.4,620.79,부산광역시
 1999,06,188.4,458.98,부산광역시
 1999,07,134.5,402.51,부산광역시
 1999,08,159.0,414.76,부산광역시
 1999,09,162.6,368.32,부산광역시
 2000,03,201.2,495.9,부산광역시
 2000,04,182.2,539.21,부산광역시
 2000,05,193.2,607.84,부산광역시
 2000,06,147.5,535.18,부산광역시
 2000,07,179.8,497.81,부산광역시
 2000,08,176.8,457.13,부산광역시
 2000,09,133.7,348.73,부산광역시
 2001,03,183.3,439.57,부산광역시
 2001,04,213.5,539.17,부산광역시
 2001,05,186.3,534.76,부산광역시
 2001,06,155.4,467.27,부산광역시
 2001,07,189.6,529.31,부산광역시
 2001,08,191.1,470.35,부산광역시
 2001,09,180.1,401.95,부산광역시
 2002,03,182.5,468.69,부산광역시
