년,월,평균상대습도(%),최소상대습도(%),지역
 1985,08,83,55,부산광역시
 1985,09,80,36,부산광역시
 1986,03,63,27,부산광역시
 1986,04,61,18,부산광역시
 1986,05,69,24,부산광역시
 1986,06,80,30,부산광역시
 1986,07,85,55,부산광역시
 1986,08,77,44,부산광역시
 1986,09,75,34,부산광역시
 1987,03,59,19,부산광역시
 1987,04,62,24,부산광역시
 1987,05,65,21,부산광역시
 1987,06,74,39,부산광역시
 1987,07,87,44,부산광역시
 1987,08,88,52,부산광역시
 1987,09,73,28,부산광역시
 1988,03,63,24,부산광역시
 1988,04,66,25,부산광역시
 1988,05,71,25,부산광역시
 1988,06,81,47,부산광역시
 1988,07,82,55,부산광역시
 1988,08,77,50,부산광역시
 1988,09,76,46,부산광역시
 1989,03,63,20,부산광역시
 1989,04,68,20,부산광역시
 1989,05,72,32,부산광역시
 1989,06,76,27,부산광역시
 1989,07,83,46,부산광역시
 1989,08,77,41,부산광역시
 1989,09,81,45,부산광역시
 1990,03,60,23,부산광역시
 1990,04,66,22,부산광역시
 1990,05,76,30,부산광역시
 1990,06,83,47,부산광역시
 1990,07,86,60,부산광역시
 1990,08,78,48,부산광역시
 1990,09,80,48,부산광역시
 1991,03,64,22,부산광역시
 1991,04,66,28,부산광역시
 1991,05,68,23,부산광역시
 1991,06,84,46,부산광역시
 1991,07,88,63,부산광역시
 1991,08,82,50,부산광역시
 1991,09,76,40,부산광역시
 1992,03,65,29,부산광역시
 1992,04,62,17,부산광역시
 1992,05,68,27,부산광역시
 1992,06,75,36,부산광역시
 1992,07,84,54,부산광역시
 1992,08,83,46,부산광역시
 1992,09,74,33,부산광역시
 1993,03,60,21,부산광역시
 1993,04,57,21,부산광역시
 1993,05,75,35,부산광역시
 1993,06,86,46,부산광역시
 1993,07,88,61,부산광역시
 1993,08,88,43,부산광역시
 1993,09,73,26,부산광역시
 1994,03,52,19,부산광역시
 1994,04,64,21,부산광역시
 1994,05,70,25,부산광역시
 1994,06,77,33,부산광역시
 1994,07,79,45,부산광역시
 1994,08,77,39,부산광역시
 1994,09,65,27,부산광역시
 1995,03,63,18,부산광역시
 1995,04,61,20,부산광역시
 1995,05,68,26,부산광역시
 1995,06,80,33,부산광역시
 1995,07,89,52,부산광역시
 1995,08,82,52,부산광역시
 1995,09,69,31,부산광역시
 1996,03,56,19,부산광역시
 1996,04,52,17,부산광역시
 1996,05,66,27,부산광역시
 1996,06,86,29,부산광역시
 1996,07,85,59,부산광역시
 1996,08,79,42,부산광역시
 1996,09,74,30,부산광역시
 1997,03,55,15,부산광역시
 1997,04,65,24,부산광역시
 1997,05,76,24,부산광역시
 1997,06,76,36,부산광역시
 1997,07,85,44,부산광역시
 1997,08,80,44,부산광역시
 1997,09,69,38,부산광역시
 1998,03,52,21,부산광역시
 1998,04,76,24,부산광역시
 1998,05,70,27,부산광역시
 1998,06,83,38,부산광역시
 1998,07,86,63,부산광역시
 1998,08,82,55,부산광역시
 1998,09,72,36,부산광역시
 1999,03,60,10,부산광역시
 1999,04,64,13,부산광역시
 1999,05,66,18,부산광역시
 1999,06,76,35,부산광역시
 1999,07,81,52,부산광역시
 1999,08,83,46,부산광역시
 1999,09,81,48,부산광역시
 2000,03,52,13,부산광역시
 2000,04,63,13,부산광역시
 2000,05,76,17,부산광역시
 2000,06,82,25,부산광역시
 2000,07,87,55,부산광역시
 2000,08,85,49,부산광역시
 2000,09,79,23,부산광역시
 2001,03,52,13,부산광역시
 2001,04,59,18,부산광역시
 2001,05,73,20,부산광역시
 2001,06,83,27,부산광역시
 2001,07,87,57,부산광역시
