년,월,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm),지역
 1995,07,24.1,27.3,21.9,254.5,부산광역시
 1995,08,27.3,31.0,24.6,107.9,부산광역시
 1995,09,21.4,25.4,18.5,53.1,부산광역시
 1996,03,7.9,12.4,3.8,171.1,부산광역시
 1996,04,12.2,17.4,8.2,115.9,부산광역시
 1996,05,18.0,22.7,14.3,46.8,부산광역시
 1996,06,20.5,23.7,18.1,327.1,부산광역시
 1996,07,23.8,27.6,21.3,284.8,부산광역시
 1996,08,26.2,30.3,23.5,140.4,부산광역시
 1996,09,22.6,27.1,19.4,26.7,부산광역시
 1997,03,9.8,15.1,5.8,57.8,부산광역시
 1997,04,14.0,18.9,10.2,93.8,부산광역시
 1997,05,17.9,22.3,14.6,289.4,부산광역시
 1997,06,22.2,26.2,19.0,286.1,부산광역시
 1997,07,24.5,27.7,22.1,216.3,부산광역시
 1997,08,25.9,29.7,23.4,235.1,부산광역시
 1997,09,21.9,26.5,18.9,35.4,부산광역시
 1998,03,10.2,15.3,6.7,82.7,부산광역시
 1998,04,15.5,19.3,12.5,259.7,부산광역시
 1998,05,19.0,22.9,15.8,152.8,부산광역시
 1998,06,20.3,23.2,17.9,447.0,부산광역시
 1998,07,24.5,27.2,22.5,223.6,부산광역시
 1998,08,26.2,29.0,24.1,335.8,부산광역시
 1998,09,24.1,27.9,21.3,200.3,부산광역시
 1999,03,9.5,13.7,5.8,159.7,부산광역시
 1999,04,14.4,18.7,10.7,80.2,부산광역시
 1999,05,18.2,22.3,14.8,187.6,부산광역시
 1999,06,21.2,24.6,18.5,278.2,부산광역시
 1999,07,23.5,26.6,21.7,556.7,부산광역시
 1999,08,25.2,28.5,23.0,582.9,부산광역시
 1999,09,23.8,27.3,21.4,320.2,부산광역시
 2000,03,9.1,14.0,5.1,48.1,부산광역시
 2000,04,13.2,17.6,9.5,65.4,부산광역시
 2000,05,17.3,22.0,14.0,72.0,부산광역시
 2000,06,20.4,24.1,17.5,93.7,부산광역시
 2000,07,25.3,28.9,22.5,337.4,부산광역시
 2000,08,26.7,30.1,24.3,325.2,부산광역시
 2000,09,21.9,25.7,19.4,163.5,부산광역시
 2001,03,9.6,14.6,5.6,6.1,부산광역시
 2001,04,15.0,20.2,11.0,42.4,부산광역시
 2001,05,19.0,23.4,16.0,57.8,부산광역시
 2001,06,21.6,25.6,18.8,274.9,부산광역시
 2001,07,26.0,29.8,23.3,271.5,부산광역시
 2001,08,26.9,31.1,24.2,144.7,부산광역시
 2001,09,22.7,27.3,19.7,74.4,부산광역시
 2002,03,10.7,15.5,6.8,117.1,부산광역시
 2002,04,14.4,18.5,10.7,384.8,부산광역시
 2002,05,17.0,21.0,13.9,122.6,부산광역시
 2002,06,20.9,25.2,17.8,76.0,부산광역시
 2002,07,24.0,27.2,21.7,304.6,부산광역시
 2002,08,24.2,27.1,22.1,696.3,부산광역시
 2002,09,21.7,25.9,18.7,98.9,부산광역시
 2003,03,8.6,13.3,5.0,77.5,부산광역시
 2003,04,13.8,18.2,10.7,232.0,부산광역시
 2003,05,16.9,20.9,13.8,418.5,부산광역시
 2003,06,20.8,24.3,18.2,355.0,부산광역시
 2003,07,21.3,24.1,19.2,657.7,부산광역시
 2003,08,24.1,27.4,21.8,278.0,부산광역시
 2003,09,22.5,26.7,19.5,160.3,부산광역시
 2004,03,8.8,13.8,4.8,48.1,부산광역시
 2004,04,14.0,19.3,10.1,215.0,부산광역시
 2004,05,17.3,20.9,14.3,210.6,부산광역시
 2004,06,21.0,25.0,17.6,189.1,부산광역시
 2004,07,24.2,27.5,21.5,91.7,부산광역시
 2004,08,25.2,29.1,22.4,249.0,부산광역시
 2004,09,22.0,25.6,19.6,231.2,부산광역시
 2005,03,7.1,12.2,3.0,142.4,부산광역시
 2005,04,14.0,18.6,10.4,118.9,부산광역시
 2005,05,17.1,22.0,13.3,168.0,부산광역시
 2005,06,21.0,24.6,18.2,145.0,부산광역시
 2005,07,23.8,26.9,21.4,314.4,부산광역시
 2005,08,25.8,29.1,23.3,210.8,부산광역시
 2005,09,22.8,26.4,20.3,176.5,부산광역시
 2006,03,8.0,13.3,3.8,24.7,부산광역시
 2006,04,12.2,16.5,8.6,166.3,부산광역시
 2006,05,16.3,20.8,13.2,257.6,부산광역시
