년,월,평균풍속(m/s),최대풍속(m/s),지역
 2019,07,1.8,7.6,광주광역시
 2019,08,1.5,6.0,광주광역시
 2019,09,1.6,12.5,광주광역시
 2020,03,1.7,7.9,광주광역시
 2020,04,1.8,9.1,광주광역시
 2020,05,1.7,7.9,광주광역시
 2020,06,1.6,6.9,광주광역시
 2020,07,1.5,8.3,광주광역시
 2020,08,2.2,8.4,광주광역시
 2020,09,1.5,7.0,광주광역시
 2021,03,1.5,5.4,광주광역시
 2021,04,1.4,7.9,광주광역시
 2021,05,1.4,7.2,광주광역시
 2021,06,1.3,5.7,광주광역시
 2021,07,1.5,8.0,광주광역시
 2021,08,1.3,8.0,광주광역시
 2021,09,1.5,5.6,광주광역시
 2022,03,1.4,7.9,광주광역시
 2022,04,1.4,6.5,광주광역시
 2022,05,1.3,6.9,광주광역시
 2022,06,1.9,7.9,광주광역시
 2022,07,1.5,8.0,광주광역시
 2022,08,1.8,8.3,광주광역시
 2022,09,1.5,7.5,광주광역시
 1980,03,3.4,11.8,대구광역시
 1980,04,3.7,16.7,대구광역시
 1980,05,3.3,15.0,대구광역시
 1980,06,3.3,12.3,대구광역시
 1980,07,2.9,11.7,대구광역시
 1980,08,3.0,10.0,대구광역시
 1980,09,2.5,11.7,대구광역시
 1981,03,4.1,15.7,대구광역시
 1981,04,3.3,12.0,대구광역시
 1981,05,3.8,12.7,대구광역시
 1981,06,2.9,10.7,대구광역시
 1981,07,3.0,11.2,대구광역시
 1981,08,3.0,12.7,대구광역시
 1981,09,2.9,14.0,대구광역시
 1982,03,3.2,13.0,대구광역시
 1982,04,3.3,12.3,대구광역시
 1982,05,3.5,15.0,대구광역시
 1982,06,3.5,11.7,대구광역시
 1982,07,2.9,10.5,대구광역시
 1982,08,3.1,10.7,대구광역시
 1982,09,2.9,10.2,대구광역시
 1983,03,3.5,13.0,대구광역시
 1983,04,3.5,16.0,대구광역시
 1983,05,3.2,12.7,대구광역시
 1983,06,3.5,10.0,대구광역시
 1983,07,3.2,11.0,대구광역시
 1983,08,3.3,10.3,대구광역시
 1983,09,2.6,11.3,대구광역시
 1984,03,3.6,13.3,대구광역시
 1984,04,3.4,9.0,대구광역시
 1984,05,3.1,8.3,대구광역시
 1984,06,3.4,8.0,대구광역시
 1984,07,3.3,8.2,대구광역시
 1984,08,2.9,9.0,대구광역시
 1984,09,2.6,8.7,대구광역시
 1985,03,3.3,8.7,대구광역시
 1985,04,3.3,12.7,대구광역시
 1985,05,3.3,11.8,대구광역시
 1985,06,3.1,9.7,대구광역시
 1985,07,2.3,14.3,대구광역시
 1985,08,3.0,11.0,대구광역시
 1985,09,2.6,10.0,대구광역시
 1986,03,3.1,11.3,대구광역시
 1986,04,3.3,15.5,대구광역시
 1986,05,2.9,12.0,대구광역시
 1986,06,3.3,8.7,대구광역시
 1986,07,3.0,8.0,대구광역시
 1986,08,3.1,20.3,대구광역시
 1986,09,2.5,9.3,대구광역시
 1987,03,3.4,11.7,대구광역시
 1987,04,3.0,19.7,대구광역시
 1987,05,2.8,12.0,대구광역시
 1987,06,3.0,11.3,대구광역시
 1987,07,2.8,15.0,대구광역시
 1987,08,2.7,16.7,대구광역시
 1987,09,2.9,11.7,대구광역시
 1988,03,3.4,12.2,대구광역시
 1988,04,3.5,16.0,대구광역시
 1988,05,3.1,13.0,대구광역시
 1988,06,3.0,10.0,대구광역시
 1988,07,3.5,11.0,대구광역시
 1988,08,2.4,9.3,대구광역시
 1988,09,2.4,9.2,대구광역시
 1989,03,3.4,13.3,대구광역시
 1989,04,3.1,12.5,대구광역시
 1989,05,3.5,9.3,대구광역시
 1989,06,3.0,9.8,대구광역시
 1989,07,2.8,11.3,대구광역시
 1989,08,3.2,11.3,대구광역시
 1989,09,2.6,8.8,대구광역시
 1990,03,3.3,11.0,대구광역시
 1990,04,3.5,12.7,대구광역시
 1990,05,3.3,13.3,대구광역시
 1990,06,3.2,10.0,대구광역시
 1990,07,2.9,8.3,대구광역시
 1990,08,2.7,10.0,대구광역시
 1990,09,2.7,13.3,대구광역시
 1991,03,3.4,13.3,대구광역시
 1991,04,3.1,11.3,대구광역시
 1991,05,3.7,15.0,대구광역시
 1991,06,3.1,12.0,대구광역시
 1991,07,2.8,10.3,대구광역시
 1991,08,3.3,9.7,대구광역시
 1991,09,2.3,8.8,대구광역시
 1992,03,2.8,12.7,대구광역시
 1992,04,3.3,11.7,대구광역시
 1992,05,3.4,11.0,대구광역시
 1992,06,2.9,10.7,대구광역시
 1992,07,3.0,10.0,대구광역시
 1992,08,2.9,9.3,대구광역시
 1992,09,2.5,8.5,대구광역시
 1993,03,2.8,10.3,대구광역시
 1993,04,3.7,14.0,대구광역시
 1993,05,2.8,11.3,대구광역시
 1993,06,2.8,12.7,대구광역시
 1993,07,3.2,10.3,대구광역시
 1993,08,2.5,8.7,대구광역시
 1993,09,2.3,10.0,대구광역시
 1994,03,3.5,11.0,대구광역시
 1994,04,3.3,11.8,대구광역시
 1994,05,3.2,11.3,대구광역시
 1994,06,3.0,9.2,대구광역시
 1994,07,3.0,13.0,대구광역시
 1994,08,3.1,9.7,대구광역시
 1994,09,2.6,8.8,대구광역시
 1995,03,2.8,12.0,대구광역시
 1995,04,2.2,12.0,대구광역시
 1995,05,2.1,10.8,대구광역시
 1995,06,3.2,10.5,대구광역시
 1995,07,2.8,11.5,대구광역시
 1995,08,2.7,11.7,대구광역시
 1995,09,2.4,10.0,대구광역시
 1996,03,3.2,11.0,대구광역시
 1996,04,3.2,11.0,대구광역시
 1996,05,2.8,13.3,대구광역시
 1996,06,2.8,9.0,대구광역시
 1996,07,3.0,10.0,대구광역시
 1996,08,3.0,10.0,대구광역시
 1996,09,2.2,8.7,대구광역시
 1997,03,2.7,10.2,대구광역시
 1997,04,2.1,9.0,대구광역시
 1997,05,2.1,7.7,대구광역시
 1997,06,1.5,8.7,대구광역시
 1997,07,1.9,8.0,대구광역시
 1997,08,2.0,7.7,대구광역시
 1997,09,1.9,9.3,대구광역시
 1998,03,3.1,13.7,대구광역시
 1998,04,2.8,11.0,대구광역시
 1998,05,2.6,10.0,대구광역시
 1998,06,2.9,10.5,대구광역시
 1998,07,3.1,9.0,대구광역시
 1998,08,2.2,9.0,대구광역시
 1998,09,2.1,9.7,대구광역시
 1999,03,2.5,11.0,대구광역시
 1999,04,3.1,11.7,대구광역시
 1999,05,2.9,10.0,대구광역시
 1999,06,2.6,10.0,대구광역시
 1999,07,3.0,11.3,대구광역시
 1999,08,2.7,16.7,대구광역시
 1999,09,2.3,9.0,대구광역시
 2000,03,2.9,8.9,대구광역시
 2000,04,2.8,9.9,대구광역시
 2000,05,2.3,7.7,대구광역시
 2000,06,2.3,7.3,대구광역시
 2000,07,2.2,8.1,대구광역시
 2000,08,1.8,7.4,대구광역시
 2000,09,1.5,8.1,대구광역시
 2001,03,2.2,8.6,대구광역시
 2001,04,2.0,7.4,대구광역시
 2001,05,1.9,6.4,대구광역시
 2001,06,1.9,7.4,대구광역시
 2001,07,1.8,6.2,대구광역시
 2001,08,1.8,6.3,대구광역시
 2001,09,1.7,6.9,대구광역시
 2002,03,2.8,10.1,대구광역시
 2002,04,2.9,10.2,대구광역시
 2002,05,2.7,7.7,대구광역시
 2002,06,2.7,8.2,대구광역시
 2002,07,2.7,8.0,대구광역시
 2002,08,2.6,15.3,대구광역시
 2002,09,2.3,6.8,대구광역시
 2003,03,2.4,8.3,대구광역시
 2003,04,2.7,8.4,대구광역시
 2003,05,2.5,8.6,대구광역시
 2003,06,2.3,7.0,대구광역시
 2003,07,2.4,6.2,대구광역시
 2003,08,2.1,7.0,대구광역시
 2003,09,2.2,17.1,대구광역시
 2004,03,2.7,8.4,대구광역시
 2004,04,2.6,8.8,대구광역시
 2004,05,2.2,7.4,대구광역시
 2004,06,2.3,8.3,대구광역시
 2004,07,2.2,7.9,대구광역시
 2004,08,2.3,6.8,대구광역시
 2004,09,2.3,6.8,대구광역시
 2005,03,2.9,9.0,대구광역시
 2005,04,2.6,9.0,대구광역시
 2005,05,2.7,8.3,대구광역시
 2005,06,2.3,6.6,대구광역시
 2005,07,2.2,5.8,대구광역시
 2005,08,2.2,7.5,대구광역시
 2005,09,2.4,7.6,대구광역시
 2006,03,2.9,11.4,대구광역시
 2006,04,2.9,13.3,대구광역시
 2006,05,2.6,8.8,대구광역시
 2006,06,2.5,7.1,대구광역시
 2006,07,2.1,12.2,대구광역시
 2006,08,2.3,6.9,대구광역시
 2006,09,2.2,7.3,대구광역시
 2007,03,2.9,9.6,대구광역시
 2007,04,2.6,8.1,대구광역시
 2007,05,2.5,8.2,대구광역시
 2007,06,2.3,6.9,대구광역시
 2007,07,2.2,8.0,대구광역시
 2007,08,1.9,7.7,대구광역시
 2007,09,2.0,7.1,대구광역시
 2008,03,2.3,6.7,대구광역시
 2008,04,2.3,7.0,대구광역시
 2008,05,2.3,8.7,대구광역시
 2008,06,2.6,8.1,대구광역시
 2008,07,1.9,5.8,대구광역시
 2008,08,2.5,6.3,대구광역시
 2008,09,2.0,5.7,대구광역시
 2009,03,2.6,7.6,대구광역시
 2009,04,2.5,9.0,대구광역시
 2009,05,2.2,7.7,대구광역시
 2009,06,2.2,6.5,대구광역시
 2009,07,2.0,7.3,대구광역시
 2009,08,2.5,6.3,대구광역시
 2009,09,2.1,6.0,대구광역시
 2010,03,2.5,8.0,대구광역시
 2010,04,2.5,8.6,대구광역시
 2010,05,2.3,7.0,대구광역시
 2010,06,2.1,6.2,대구광역시
 2010,07,2.0,7.5,대구광역시
 2010,08,1.9,7.1,대구광역시
 2010,09,1.8,6.4,대구광역시
 2011,03,2.6,7.2,대구광역시
 2011,04,2.5,6.7,대구광역시
 2011,05,2.4,8.0,대구광역시
 2011,06,2.2,7.0,대구광역시
 2011,07,2.0,6.7,대구광역시
 2011,08,2.1,7.0,대구광역시
 2011,09,2.0,6.2,대구광역시
 2012,03,2.5,8.7,대구광역시
 2012,04,2.5,10.0,대구광역시
 2012,05,2.1,7.4,대구광역시
 2012,06,2.5,6.5,대구광역시
 2012,07,2.1,6.3,대구광역시
 2012,08,2.5,8.7,대구광역시
 2012,09,1.8,9.1,대구광역시
 2013,03,2.0,7.4,대구광역시
 2013,04,2.5,8.6,대구광역시
 2013,05,2.2,7.4,대구광역시
 2013,06,2.3,6.7,대구광역시
 2013,07,1.9,6.6,대구광역시
 2013,08,1.7,6.0,대구광역시
 2013,09,1.6,5.8,대구광역시
 2014,03,2.0,7.6,대구광역시
 2014,04,2.0,7.2,대구광역시
 2014,05,2.1,6.9,대구광역시
 2014,06,2.2,6.1,대구광역시
 2014,07,1.9,8.7,대구광역시
 2014,08,1.9,6.8,대구광역시
 2014,09,1.8,5.3,대구광역시
 2015,03,2.2,8.0,대구광역시
 2015,04,2.3,7.4,대구광역시
 2015,05,2.0,7.3,대구광역시
 2015,06,2.3,6.7,대구광역시
 2015,07,2.4,7.7,대구광역시
 2015,08,1.7,8.5,대구광역시
 2015,09,1.8,6.6,대구광역시
 2016,03,2.2,7.5,대구광역시
 2016,04,2.5,12.1,대구광역시
 2016,05,2.3,11.6,대구광역시
 2016,06,2.2,7.6,대구광역시
 2016,07,2.0,7.7,대구광역시
 2016,08,2.3,10.3,대구광역시
 2016,09,1.6,6.4,대구광역시
 2017,03,2.3,9.3,대구광역시
 2017,04,2.3,7.8,대구광역시
 2017,05,2.3,9.4,대구광역시
 2017,06,2.4,7.7,대구광역시
 2017,07,1.9,8.2,대구광역시
 2017,08,2.2,7.4,대구광역시
 2017,09,1.8,7.5,대구광역시
 2018,03,2.3,10.5,대구광역시
 2018,04,2.6,8.8,대구광역시
 2018,05,2.4,9.5,대구광역시
 2018,06,2.2,7.7,대구광역시
 2018,07,2.2,7.0,대구광역시
 2018,08,2.4,8.0,대구광역시
 2018,09,1.9,7.1,대구광역시
 2019,03,2.4,8.5,대구광역시
 2019,04,2.2,7.9,대구광역시
 2019,05,2.1,7.9,대구광역시
 2019,06,2.1,7.4,대구광역시
 2019,07,1.9,7.3,대구광역시
 2019,08,1.9,7.2,대구광역시
 2019,09,1.7,7.8,대구광역시
 2020,03,2.5,10.6,대구광역시
 2020,04,2.9,9.9,대구광역시
 2020,05,2.5,8.6,대구광역시
 2020,06,2.2,7.5,대구광역시
 2020,07,2.2,8.5,대구광역시
 2020,08,1.9,6.9,대구광역시
 2020,09,2.0,11.3,대구광역시
 2021,03,2.4,8.7,대구광역시
 2021,04,2.9,8.9,대구광역시
 2021,05,2.5,8.9,대구광역시
 2021,06,2.3,7.3,대구광역시
 2021,07,2.1,6.7,대구광역시
 2021,08,1.6,7.0,대구광역시
 2021,09,2.0,7.6,대구광역시
 2022,03,2.4,9.6,대구광역시
 2022,04,2.2,8.5,대구광역시
 2022,05,2.5,9.1,대구광역시
 2022,06,2.4,7.9,대구광역시
 2022,07,2.3,6.2,대구광역시
 2022,08,1.7,7.4,대구광역시
 2022,09,2.3,9.4,대구광역시
 1980,03,1.8,7.3,대전광역시
 1980,04,2.3,12.7,대전광역시
 1980,05,2.2,13.3,대전광역시
 1980,06,2.2,9.0,대전광역시
 1980,07,1.9,10.0,대전광역시
 1980,08,1.6,6.0,대전광역시
 1980,09,1.5,7.0,대전광역시
 1981,03,2.0,11.2,대전광역시
 1981,04,2.1,12.3,대전광역시
 1981,05,2.5,12.0,대전광역시
 1981,06,1.6,9.0,대전광역시
 1981,07,1.8,10.8,대전광역시
 1981,08,1.5,7.7,대전광역시
 1981,09,1.5,8.3,대전광역시
 1982,03,1.5,9.3,대전광역시
 1982,04,1.9,10.0,대전광역시
 1982,05,2.0,9.7,대전광역시
 1982,06,1.7,6.7,대전광역시
 1982,07,1.7,7.3,대전광역시
 1982,08,1.8,8.3,대전광역시
 1982,09,1.4,7.0,대전광역시
 1983,03,1.9,9.0,대전광역시
 1983,04,2.3,14.0,대전광역시
 1983,05,1.7,8.3,대전광역시
 1983,06,1.7,8.7,대전광역시
 1983,07,1.9,9.3,대전광역시
 1983,08,1.7,9.7,대전광역시
 1983,09,1.4,7.3,대전광역시
 1984,03,2.1,10.7,대전광역시
 1984,04,1.9,10.7,대전광역시
 1984,05,1.7,9.0,대전광역시
 1984,06,1.8,9.3,대전광역시
 1984,07,1.8,7.0,대전광역시
 1984,08,1.6,8.7,대전광역시
 1984,09,1.3,6.7,대전광역시
 1985,03,1.6,9.7,대전광역시
 1985,04,1.8,11.0,대전광역시
 1985,05,1.6,7.7,대전광역시
 1985,06,1.6,7.7,대전광역시
 1985,07,1.7,7.2,대전광역시
 1985,08,1.5,9.3,대전광역시
 1985,09,1.6,7.3,대전광역시
 1986,03,1.8,8.7,대전광역시
 1986,04,2.0,8.7,대전광역시
 1986,05,1.9,9.0,대전광역시
 1986,06,1.9,6.8,대전광역시
 1986,07,1.8,9.5,대전광역시
 1986,08,1.8,10.0,대전광역시
 1986,09,1.4,6.8,대전광역시
 1987,03,2.0,7.7,대전광역시
 1987,04,1.9,14.2,대전광역시
 1987,05,1.7,7.8,대전광역시
 1987,06,1.7,7.5,대전광역시
 1987,07,1.5,8.3,대전광역시
 1987,08,1.4,8.3,대전광역시
 1987,09,1.5,9.2,대전광역시
 1988,03,2.0,10.0,대전광역시
 1988,04,2.3,11.7,대전광역시
 1988,05,1.6,7.7,대전광역시
 1988,06,2.0,8.3,대전광역시
 1988,07,2.1,12.3,대전광역시
 1988,08,1.7,13.3,대전광역시
 1988,09,1.4,8.0,대전광역시
 1989,03,2.0,10.0,대전광역시
 1989,04,1.7,9.7,대전광역시
 1989,05,2.3,10.0,대전광역시
 1989,06,1.9,9.7,대전광역시
 1989,07,1.4,8.0,대전광역시
 1989,08,2.3,13.0,대전광역시
 1989,09,1.5,10.3,대전광역시
 1990,03,2.2,13.3,대전광역시
 1990,04,2.6,10.3,대전광역시
 1990,05,2.4,10.0,대전광역시
 1990,06,2.0,8.3,대전광역시
 1990,07,1.7,7.0,대전광역시
 1990,08,1.5,8.0,대전광역시
 1990,09,1.6,8.7,대전광역시
 1991,03,1.8,9.3,대전광역시
 1991,04,1.9,9.3,대전광역시
 1991,05,2.3,9.0,대전광역시
 1991,06,1.7,9.7,대전광역시
 1991,07,2.0,10.8,대전광역시
 1991,08,2.0,11.0,대전광역시
 1991,09,1.4,7.5,대전광역시
 1992,03,1.8,7.7,대전광역시
 1992,04,2.2,9.3,대전광역시
 1992,05,2.3,8.7,대전광역시
 1992,06,1.9,8.3,대전광역시
 1992,07,2.3,8.7,대전광역시
 1992,08,1.8,12.7,대전광역시
 1992,09,1.4,7.3,대전광역시
 1993,03,1.7,8.3,대전광역시
 1993,04,2.5,11.0,대전광역시
 1993,05,1.7,8.3,대전광역시
 1993,06,1.9,13.3,대전광역시
 1993,07,1.9,9.0,대전광역시
 1993,08,1.5,9.0,대전광역시
 1993,09,1.5,11.3,대전광역시
 1994,03,2.2,8.3,대전광역시
 1994,04,2.2,11.0,대전광역시
 1994,05,2.3,10.0,대전광역시
 1994,06,1.7,7.3,대전광역시
 1994,07,1.8,7.2,대전광역시
 1994,08,1.9,11.5,대전광역시
 1994,09,1.4,7.3,대전광역시
 1995,03,2.1,10.7,대전광역시
 1995,04,2.0,10.8,대전광역시
 1995,05,2.0,13.0,대전광역시
 1995,06,2.2,10.0,대전광역시
 1995,07,1.8,9.0,대전광역시
 1995,08,1.8,16.0,대전광역시
 1995,09,1.4,7.7,대전광역시
 1996,03,2.1,11.7,대전광역시
 1996,04,2.2,12.5,대전광역시
 1996,05,1.8,9.0,대전광역시
 1996,06,1.6,13.3,대전광역시
 1996,07,2.2,10.0,대전광역시
 1996,08,1.7,8.5,대전광역시
 1996,09,1.0,8.3,대전광역시
 1997,03,1.7,7.7,대전광역시
 1997,04,1.9,10.3,대전광역시
 1997,05,2.2,10.1,대전광역시
 1997,06,1.3,10.7,대전광역시
 1997,07,1.3,9.2,대전광역시
 1997,08,1.9,10.0,대전광역시
 1997,09,1.4,12.7,대전광역시
 1998,03,1.9,12.3,대전광역시
 1998,04,1.8,12.0,대전광역시
 1998,05,1.5,9.8,대전광역시
 1998,06,1.9,10.8,대전광역시
 1998,07,2.5,10.7,대전광역시
 1998,08,1.4,8.0,대전광역시
 1998,09,1.3,13.7,대전광역시
 1999,03,1.4,8.8,대전광역시
 1999,04,1.6,7.7,대전광역시
 1999,05,1.9,9.0,대전광역시
 1999,06,1.3,7.7,대전광역시
 1999,07,2.4,9.5,대전광역시
 1999,08,1.9,17.0,대전광역시
 1999,09,1.6,8.8,대전광역시
 2000,03,3.2,15.1,대전광역시
 2000,04,3.6,15.7,대전광역시
 2000,05,3.1,12.9,대전광역시
 2000,06,2.9,9.8,대전광역시
 2000,07,3.1,12.1,대전광역시
 2000,08,3.3,19.5,대전광역시
 2000,09,3.4,12.8,대전광역시
 2001,03,2.5,11.3,대전광역시
 2001,04,2.7,9.4,대전광역시
 2001,05,2.6,8.4,대전광역시
 2001,06,2.2,7.1,대전광역시
 2001,07,2.0,8.7,대전광역시
 2001,08,2.1,8.9,대전광역시
 2001,09,2.4,9.8,대전광역시
 2002,03,2.5,9.7,대전광역시
 2002,04,2.8,10.3,대전광역시
 2002,05,2.4,10.2,대전광역시
 2002,06,2.1,8.7,대전광역시
 2002,07,2.3,8.7,대전광역시
 2002,08,2.1,12.4,대전광역시
 2002,09,1.8,8.0,대전광역시
 2003,03,2.2,10.0,대전광역시
 2003,04,2.6,9.8,대전광역시
 2003,05,2.7,14.7,대전광역시
 2003,06,2.2,10.1,대전광역시
 2003,07,2.5,9.8,대전광역시
 2003,08,2.2,13.1,대전광역시
 2003,09,1.8,11.7,대전광역시
 2004,03,1.4,6.4,대전광역시
 2004,04,2.2,9.4,대전광역시
 2004,05,1.9,10.9,대전광역시
 2004,06,1.9,14.7,대전광역시
 2004,07,1.9,8.7,대전광역시
 2004,08,1.8,7.2,대전광역시
 2004,09,2.2,8.7,대전광역시
 2005,03,2.6,10.8,대전광역시
 2005,04,2.6,12.0,대전광역시
 2005,05,2.1,7.9,대전광역시
 2005,06,1.9,12.4,대전광역시
 2005,07,1.8,8.5,대전광역시
 2005,08,1.5,10.2,대전광역시
 2005,09,2.0,9.9,대전광역시
 2006,03,2.2,8.3,대전광역시
 2006,04,2.3,7.8,대전광역시
 2006,05,2.2,7.4,대전광역시
 2006,06,1.8,7.3,대전광역시
 2006,07,1.9,8.3,대전광역시
 2006,08,1.5,7.2,대전광역시
 2006,09,1.8,6.8,대전광역시
 2007,03,2.1,8.6,대전광역시
 2007,04,2.1,7.3,대전광역시
 2007,05,2.2,8.8,대전광역시
 2007,06,1.8,7.3,대전광역시
 2007,07,1.9,7.6,대전광역시
 2007,08,1.8,8.3,대전광역시
 2007,09,1.9,8.0,대전광역시
 2008,03,2.0,6.8,대전광역시
 2008,04,2.3,9.4,대전광역시
 2008,05,2.2,9.2,대전광역시
 2008,06,2.2,7.9,대전광역시
 2008,07,1.6,7.8,대전광역시
 2008,08,2.2,7.5,대전광역시
 2008,09,1.4,6.1,대전광역시
 2009,03,2.3,7.8,대전광역시
 2009,04,2.0,8.1,대전광역시
 2009,05,1.8,6.8,대전광역시
 2009,06,1.9,6.3,대전광역시
 2009,07,1.8,8.2,대전광역시
 2009,08,2.1,6.8,대전광역시
 2009,09,1.6,5.7,대전광역시
 2010,03,2.3,8.6,대전광역시
 2010,04,2.3,8.1,대전광역시
 2010,05,2.0,7.8,대전광역시
 2010,06,1.8,8.8,대전광역시
 2010,07,1.8,6.1,대전광역시
 2010,08,1.6,8.7,대전광역시
 2010,09,1.5,10.0,대전광역시
 2011,03,2.3,8.0,대전광역시
 2011,04,2.2,7.1,대전광역시
 2011,05,2.1,7.1,대전광역시
 2011,06,2.0,7.6,대전광역시
 2011,07,1.7,6.4,대전광역시
 2011,08,1.9,10.5,대전광역시
 2011,09,1.5,6.0,대전광역시
 2012,03,2.1,8.0,대전광역시
 2012,04,2.4,8.8,대전광역시
 2012,05,1.9,6.0,대전광역시
 2012,06,2.1,7.3,대전광역시
 2012,07,1.7,11.9,대전광역시
 2012,08,2.3,13.9,대전광역시
 2012,09,1.4,7.6,대전광역시
 2013,03,1.8,6.6,대전광역시
 2013,04,2.1,8.4,대전광역시
 2013,05,1.8,7.7,대전광역시
 2013,06,1.5,7.9,대전광역시
 2013,07,1.9,7.5,대전광역시
 2013,08,1.5,8.1,대전광역시
 2013,09,1.2,8.1,대전광역시
 2014,03,1.7,8.0,대전광역시
 2014,04,1.7,6.6,대전광역시
 2014,05,2.0,10.1,대전광역시
 2014,06,1.7,9.2,대전광역시
 2014,07,1.6,8.1,대전광역시
 2014,08,1.6,9.0,대전광역시
 2014,09,1.3,6.1,대전광역시
 2015,03,1.7,7.4,대전광역시
 2015,04,1.9,9.1,대전광역시
 2015,05,1.6,7.5,대전광역시
 2015,06,1.5,6.7,대전광역시
 2015,07,1.8,8.5,대전광역시
 2015,08,1.5,5.5,대전광역시
 2015,09,1.6,8.1,대전광역시
 2016,03,1.5,7.9,대전광역시
 2016,04,1.7,7.7,대전광역시
 2016,05,1.7,7.4,대전광역시
 2016,06,1.6,5.9,대전광역시
 2016,07,1.6,6.6,대전광역시
 2016,08,1.4,6.4,대전광역시
 2016,09,1.3,6.6,대전광역시
 2017,03,1.6,8.2,대전광역시
 2017,04,1.9,7.9,대전광역시
 2017,05,1.8,7.9,대전광역시
 2017,06,1.7,6.1,대전광역시
 2017,07,1.7,9.9,대전광역시
 2017,08,1.5,6.4,대전광역시
 2017,09,1.4,6.9,대전광역시
 2018,03,1.8,8.8,대전광역시
 2018,04,2.0,9.0,대전광역시
 2018,05,1.8,6.8,대전광역시
 2018,06,1.7,6.5,대전광역시
 2018,07,1.5,6.3,대전광역시
 2018,08,1.9,8.1,대전광역시
 2018,09,1.6,6.2,대전광역시
 2019,03,1.6,6.6,대전광역시
 2019,04,1.6,7.8,대전광역시
 2019,05,1.8,6.3,대전광역시
 2019,06,1.3,5.6,대전광역시
 2019,07,1.6,7.0,대전광역시
 2019,08,1.3,8.2,대전광역시
 2019,09,1.3,10.9,대전광역시
 2020,03,1.6,7.0,대전광역시
 2020,04,2.0,7.6,대전광역시
 2020,05,1.6,7.8,대전광역시
 2020,06,1.4,6.7,대전광역시
 2020,07,1.4,6.7,대전광역시
 2020,08,1.5,8.1,대전광역시
 2020,09,1.4,7.2,대전광역시
 2021,03,1.5,7.5,대전광역시
 2021,04,1.9,11.6,대전광역시
 2021,05,1.6,6.4,대전광역시
 2021,06,1.5,5.8,대전광역시
 2021,07,1.6,7.8,대전광역시
 2021,08,1.3,7.3,대전광역시
 2021,09,1.8,7.1,대전광역시
 2022,03,1.9,9.3,대전광역시
 2022,04,1.9,6.1,대전광역시
 2022,05,2.1,6.8,대전광역시
 2022,06,2.4,7.5,대전광역시
 2022,07,1.9,7.0,대전광역시
 2022,08,1.9,7.2,대전광역시
 2022,09,2.2,9.6,대전광역시
 1980,03,3.8,13.0,부산광역시
 1980,04,4.7,24.5,부산광역시
 1980,05,4.1,14.3,부산광역시
 1980,06,4.1,16.3,부산광역시
 1980,07,3.5,18.3,부산광역시
 1980,08,3.5,16.7,부산광역시
 1980,09,3.7,18.7,부산광역시
 1981,03,4.5,17.7,부산광역시
 1981,04,4.0,16.0,부산광역시
 1981,05,4.1,14.3,부산광역시
 1981,06,3.1,23.0,부산광역시
 1981,07,4.3,19.0,부산광역시
 1981,08,4.0,16.7,부산광역시
 1981,09,3.5,15.7,부산광역시
 1982,03,4.3,16.7,부산광역시
 1982,04,4.1,14.7,부산광역시
 1982,05,4.5,23.3,부산광역시
 1982,06,3.3,8.0,부산광역시
 1982,07,3.1,9.3,부산광역시
 1982,08,4.6,16.7,부산광역시
 1982,09,3.5,10.3,부산광역시
 1983,03,4.4,16.3,부산광역시
 1983,04,4.5,25.0,부산광역시
 1983,05,3.8,12.7,부산광역시
 1983,06,3.2,12.0,부산광역시
 1983,07,4.3,17.3,부산광역시
 1983,08,4.0,10.7,부산광역시
 1983,09,3.7,12.3,부산광역시
 1984,03,4.3,12.7,부산광역시
 1984,04,3.9,12.3,부산광역시
 1984,05,2.9,12.3,부산광역시
 1984,06,3.3,16.3,부산광역시
 1984,07,3.6,15.0,부산광역시
 1984,08,3.9,12.7,부산광역시
 1984,09,3.2,14.3,부산광역시
 1985,03,3.7,17.0,부산광역시
 1985,04,4.1,13.3,부산광역시
 1985,05,3.5,15.0,부산광역시
 1985,06,2.7,11.7,부산광역시
 1985,07,3.8,13.3,부산광역시
 1985,08,3.4,13.8,부산광역시
 1985,09,3.7,13.3,부산광역시
 1986,03,3.9,15.3,부산광역시
 1986,04,3.5,13.0,부산광역시
 1986,05,3.6,13.3,부산광역시
 1986,06,3.0,16.7,부산광역시
 1986,07,3.3,14.3,부산광역시
 1986,08,3.7,21.7,부산광역시
 1986,09,2.8,10.5,부산광역시
 1987,03,4.2,12.8,부산광역시
 1987,04,4.1,21.7,부산광역시
 1987,05,3.3,11.7,부산광역시
 1987,06,3.3,12.3,부산광역시
 1987,07,4.4,25.7,부산광역시
 1987,08,3.7,18.0,부산광역시
 1987,09,4.0,12.8,부산광역시
 1988,03,4.4,12.3,부산광역시
 1988,04,4.8,16.0,부산광역시
 1988,05,3.7,12.0,부산광역시
 1988,06,3.4,10.3,부산광역시
 1988,07,4.1,11.0,부산광역시
 1988,08,3.3,10.5,부산광역시
 1988,09,3.3,7.5,부산광역시
 1989,03,4.7,15.5,부산광역시
 1989,04,4.1,10.7,부산광역시
 1989,05,4.2,12.0,부산광역시
 1989,06,3.5,11.3,부산광역시
 1989,07,3.8,12.5,부산광역시
 1989,08,4.6,11.7,부산광역시
 1989,09,3.7,12.0,부산광역시
 1990,03,4.5,12.3,부산광역시
 1990,04,4.7,12.2,부산광역시
