년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤)
2001,인천광역시,1,0,0
2001,전라남도,240,297,713
2001,전라북도,762,1527,11635
2001,제주도,0,0,0
2001,충청남도,2228,1860,41447
2001,충청북도,3254,1629,53015
2002,강원도,225,1291,2905
2002,경기도,333,1811,6032
2002,경상남도,2366,1737,41094
2002,경상북도,16663,1650,274900
2002,광주광역시,0,0,0
2002,대구광역시,69,1794,1238
2002,대전광역시,32,1175,376
2002,부산광역시,0,0,0
2002,서울특별시,0,0,0
2002,울산광역시,16,2294,367
2002,인천광역시,0,0,0
2002,전라남도,231,1300,3002
2002,전라북도,834,1080,9004
2002,제주도,0,0,0
2002,충청남도,2093,1795,37570
2002,충청북도,3301,1717,56677
2003,강원도,168,1276,2144
2003,경기도,351,1327,4658
2003,경상남도,2390,1174,28061
2003,경상북도,16778,1376,230935
2003,광주광역시,0,0,0
2003,대구광역시,70,1341,939
2003,대전광역시,19,737,140
2003,부산광역시,0,0,0
2003,서울특별시,0,0,0
2003,울산광역시,16,1625,260
2003,인천광역시,0,0,0
2003,전라남도,282,1020,2875
2003,전라북도,900,966,8694
2003,제주도,0,0,0
2003,충청남도,2007,1765,35430
2003,충청북도,3417,1499,51218
2004,강원도,159,1272,2023
2004,경기도,345,1263,4356
2004,경상남도,2505,1353,33898
2004,경상북도,16775,1306,219048
2004,광주광역시,0,0,0
2004,대구광역시,71,1268,900
2004,대전광역시,13,2746,357
2004,부산광역시,0,0,0
2004,서울특별시,0,0,0
2004,울산광역시,17,1929,328
2004,인천광역시,4,0,0
2004,전라남도,312,1296,4045
2004,전라북도,952,1205,11469
2004,제주도,0,0,0
2004,충청남도,2000,1791,35828
2004,충청북도,3523,1275,44928
2005,강원도,144,1046,1506
2005,경기도,312,1229,3836
2005,경상남도,2506,1554,38952
2005,경상북도,16774,1310,219723
2005,광주광역시,0,0,0
2005,대구광역시,78,1231,960
2005,대전광역시,15,2567,385
2005,부산광역시,0,0,0
2005,서울특별시,0,0,0
2005,울산광역시,18,2022,364
2005,인천광역시,14,264,37
2005,전라남도,276,1598,4410
2005,전라북도,933,1221,11391
2005,제주도,0,0,0
2005,충청남도,2053,1899,38989
2005,충청북도,3784,1241,46964
2006,강원도,125,1410,1762
2006,경기도,357,1417,5060
2006,경상남도,2408,1816,43731
2006,경상북도,18439,1374,253441
2006,광주광역시,0,0,0
2006,대구광역시,125,1351,1688
2006,대전광역시,26,1975,514
2006,부산광역시,0,0,0
2006,서울특별시,0,0,0
2006,울산광역시,4,669,27
2006,인천광역시,1,0,0
2006,전라남도,235,1421,3340
2006,전라북도,1148,1410,16186
2006,제주도,0,0,0
2006,충청남도,1448,2193,31759
2006,충청북도,3996,1254,50112
2007,강원도,114,1032,1176
2007,경기도,339,1179,3998
2007,경상남도,2493,1999,49847
2007,경상북도,19050,1425,271418
2007,광주광역시,0,0,0
2007,대구광역시,123,1027,1263
2007,대전광역시,21,2033,427
2007,부산광역시,0,0,0
2007,서울특별시,1,0,0
2007,울산광역시,6,465,28
2007,인천광역시,3,673,20
2007,전라남도,243,1405,3415
2007,전라북도,1310,1634,21403
2007,제주도,0,0,0
2007,충청남도,1455,2027,29487
2007,충청북도,4200,1267,53202
2008,강원도,184,890,1638
2008,경기도,335,1425,4773
2008,경상남도,2628,1994,52399
2008,경상북도,19158,1445,276888
2008,광주광역시,0,0,0
2008,대구광역시,143,1381,1974
2008,대전광역시,29,2151,624
2008,부산광역시,0,0,0
2008,서울특별시,1,0,0
2008,울산광역시,1,2865,29
2008,인천광역시,2,0,0
2008,전라남도,277,1603,4440
2008,전라북도,1614,1820,29375
2008,제주도,0,0,0
2008,충청남도,1441,2300,33149
2008,충청북도,4193,1564,65577
2009,강원도,199,752,1497
2009,경기도,309,969,2995
2009,경상남도,2767,1932,53469
2009,경상북도,19339,1575,304517
2009,광주광역시,0,0,0
2009,대구광역시,105,1868,1961
2009,대전광역시,21,2495,524
2009,부산광역시,1,0,0
2009,서울특별시,0,0,0
2009,울산광역시,3,1814,54
2009,인천광역시,8,0,0
2009,전라남도,321,1070,3435
2009,전라북도,1662,1569,26074
2009,제주도,1,0,0
2009,충청남도,1495,1989,29731
2009,충청북도,4220,1664,70234
2010,강원도,216,705,1522
2010,경기도,294,987,2900
2010,경상남도,2868,1473,42239
2010,경상북도,19543,1498,292707
2010,광주광역시,0,0,0
2010,대구광역시,97,1204,1168
2010,대전광역시,12,1822,219
2010,부산광역시,3,693,21
2010,서울특별시,0,0,0
2010,울산광역시,1,2080,21
2010,인천광역시,26,0,0
2010,전라남도,285,857,2443
2010,전라북도,1763,1725,30408
2010,제주도,0,0,0
2010,충청남도,1632,1327,21664
2010,충청북도,4252,1528,64973
2011,강원도,321,320,1027
2011,경기도,299,653,1952
2011,경상남도,3029,1373,41575
2011,경상북도,19470,1237,240865
2011,광주광역시,0,0,0
2011,대구광역시,90,1170,1053
2011,대전광역시,2,1651,33
2011,부산광역시,3,642,19
2011,서울특별시,0,0,0
2011,울산광역시,1,1927,19
2011,인천광역시,19,0,0
